,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
29,125,WOA_Nitrate,25.0,7.366928434035628,7.244361400604248,7.468973796963692,3,8,39.80733944954128,29.0
32,230,WOA_Salinity,46.0,0.7153622445237386,34.084312438964844,34.367305191703466,3,9,106.3875,120.0
33,95,WOA_Nitrate,19.0,5.624230894776334,8.543638229370117,10.945488073951319,3,9,106.3875,120.0
34,95,WOA_MLDpt,19.0,95.69650440835139,174.75,152.7905247236553,3,9,106.3875,120.0
35,80,WOA_TEMP_K,16.0,3.643415159028701,6.892510986328148,8.046374130249045,3,9,106.3875,120.0
36,188,WOA_Salinity,37.6,0.651689918820241,33.885887145996094,34.21608145693515,3,10,97.77049180327869,85.0
37,170,WOA_TEMP_K,34.0,3.3234766509532405,13.482202148437523,12.53821752211629,3,10,97.77049180327869,85.0
38,81,WOA_MLDpt,16.2,139.85177158784145,39.04999923706055,122.27962848875258,3,10,97.77049180327869,85.0
39,61,WOA_Nitrate,12.2,8.232462816500398,7.988773822784424,9.10988670074549,3,10,97.77049180327869,85.0
43,45,WOA_Nitrate,9.0,2.7234329891086806,0.18037238717079163,2.2491076248387496,3,11,97.06666666666666,94.0
42,126,WOA_MLDpt,25.2,49.60385825015289,12.650000095367432,41.69682509558542,3,11,97.06666666666666,94.0
41,139,WOA_TEMP_K,27.800000000000004,2.8636911592483663,19.318811035156273,19.559066926146603,3,11,97.06666666666666,94.0
40,190,WOA_Salinity,38.0,1.82656947228308,36.06527328491211,35.0609848022461,3,11,97.06666666666666,94.0
44,150,WOA_MLDpt,30.0,21.421024660543186,20.349998474121094,28.37066678682963,3,12,111.98148148148148,113.0
45,121,WOA_Salinity,24.2,0.7260023183495702,35.567405700683594,35.561776279417934,3,12,111.98148148148148,113.0
46,121,WOA_TEMP_K,24.2,2.9099876517906953,19.325189208984398,20.605056838358752,3,12,111.98148148148148,113.0
47,108,WOA_Nitrate,21.6,2.8684281867073818,3.0159871578216553,4.016803353679953,3,12,111.98148148148148,113.0
48,159,WOA_TEMP_K,31.8,4.068699106381136,24.821313476562523,23.746084959402044,3,13,96.08163265306122,77.5
49,131,WOA_Nitrate,26.200000000000003,2.1504559901206846,0.11077664792537689,1.1152381212095097,3,13,96.08163265306122,77.5
50,112,WOA_MLDpt,22.400000000000002,27.010481547816138,76.05000305175781,63.6366080556597,3,13,96.08163265306122,77.5
51,98,WOA_Salinity,19.6,1.4646974909755692,35.1828498840332,35.32952791330766,3,13,96.08163265306122,77.5
54,110,WOA_MLDpt,22.0,27.515880712856607,46.77499961853027,41.4500002080744,3,14,62.44444444444444,70.0
55,99,WOA_TEMP_K,19.8,2.491894016563864,26.398583984375023,25.350359120995126,3,14,62.44444444444444,70.0
52,172,WOA_Salinity,34.4,0.613632781019882,36.44891357421875,36.07592187925827,3,14,62.44444444444444,70.0
53,119,WOA_Nitrate,23.799999999999997,2.0995260988456037,2.3046343326568604,2.5527466443531655,3,14,62.44444444444444,70.0
