,# of trees,feature,%,std,median,mean,depth,node #,# samples (mean),# samples (median)
48,50,WOA_Nitrate,10.0,8.52973621477852,8.28623628616333,10.194437045454979,3,10,55.0,70.0
49,9,SWrad,1.7999999999999998,70.85681727469056,156.29122924804688,141.0856759813097,3,10,55.0,70.0
53,46,WOA_Nitrate,9.2,2.8316194995909836,2.7786924839019775,2.9171832237473647,3,11,99.13636363636364,108.5
52,108,WOA_MLDpt,21.6,51.01691538896895,5.699999809265137,40.29629603138677,3,11,99.13636363636364,108.5
54,44,SWrad,8.799999999999999,53.113662621010924,178.38621520996094,186.68460499156606,3,11,99.13636363636364,108.5
50,171,WOA_Salinity,34.2,1.838426960188446,35.61320114135742,34.978838491160964,3,11,99.13636363636364,108.5
51,131,WOA_TEMP_K,26.200000000000003,2.6702052536377123,18.912622070312523,19.440037338606295,3,11,99.13636363636364,108.5
55,151,WOA_MLDpt,30.2,21.65970292463593,22.0,30.128145498945223,3,12,146.66101694915255,203.0
56,110,WOA_TEMP_K,22.0,3.202541557101241,19.325189208984398,20.69234202991834,3,12,146.66101694915255,203.0
57,95,WOA_Salinity,19.0,0.6862191452166819,35.567405700683594,35.61324916638826,3,12,146.66101694915255,203.0
58,85,WOA_Nitrate,17.0,2.8624394866306906,5.891585350036621,4.692100231941132,3,12,146.66101694915255,203.0
59,59,SWrad,11.799999999999999,39.96423285427952,295.11236572265625,271.15130110918466,3,12,146.66101694915255,203.0
64,74,WOA_MLDpt,14.799999999999999,30.487851172853784,66.7750015258789,58.18716263126682,3,13,94.58108108108108,119.5
63,90,WOA_Nitrate,18.0,2.1740672447128357,0.20587078481912613,1.2363624016443888,3,13,94.58108108108108,119.5
62,110,WOA_Salinity,22.0,1.3958878679184712,35.62043762207031,35.64263492931019,3,13,94.58108108108108,119.5
60,116,WOA_TEMP_K,23.200000000000003,4.099055092955718,24.515954589843773,23.313903492894685,3,13,94.58108108108108,119.5
61,110,SWrad,22.0,41.69798461960054,230.91030883789062,232.5165484341708,3,13,94.58108108108108,119.5
65,129,WOA_MLDpt,25.8,28.87240468812165,59.349998474121094,47.55000003548555,3,14,48.602739726027394,22.0
66,115,WOA_Salinity,23.0,0.6071210983851214,36.47565460205078,36.143366141941236,3,14,48.602739726027394,22.0
67,103,WOA_Nitrate,20.599999999999998,2.237635981416214,2.4803056716918945,3.1004647623783756,3,14,48.602739726027394,22.0
68,80,SWrad,16.0,48.28951274927256,279.08612060546875,264.62846221923826,3,14,48.602739726027394,22.0
69,73,WOA_TEMP_K,14.6,2.4942225752688945,26.330346679687523,25.388042042353405,3,14,48.602739726027394,22.0
73,56,SWrad,11.200000000000001,55.147137885651276,178.38621520996094,166.66611289978027,3,15,33.57692307692308,22.5
72,75,WOA_Salinity,15.0,5.058193988272677,31.643949508666992,30.276696599324545,3,15,33.57692307692308,22.5
74,52,WOA_Nitrate,10.4,4.017366359436313,1.2979455590248108,3.3269690573215485,3,15,33.57692307692308,22.5
70,181,WOA_TEMP_K,36.199999999999996,5.162145812915802,6.150415039062523,8.34541764232996,3,15,33.57692307692308,22.5
71,136,WOA_MLDpt,27.200000000000003,21.655829220122325,5.300000190734863,15.200000205460716,3,15,33.57692307692308,22.5
75,153,WOA_MLDpt,30.599999999999998,33.55667275060412,5.300000190734863,13.05816990098143,4,16,29.34426229508197,28.0
76,122,SWrad,24.4,69.55612376804422,175.94125366210938,146.7368621513492,4,16,29.34426229508197,28.0
77,84,WOA_TEMP_K,16.8,4.8157055650957465,7.063745117187523,9.96659131731308,4,16,29.34426229508197,28.0
78,80,WOA_Salinity,16.0,4.063934817504185,33.89894485473633,32.70637204647064,4,16,29.34426229508197,28.0
79,61,WOA_Nitrate,12.2,4.19684305694459,2.5540688037872314,3.6798967758163075,4,16,29.34426229508197,28.0
80,160,WOA_MLDpt,32.0,62.61148128046074,14.649999618530273,32.053749749064444,4,17,45.72727272727273,40.0
81,113,WOA_TEMP_K,22.6,4.061705619637714,13.541223144531273,12.073093488575104,4,17,45.72727272727273,40.0
82,89,WOA_Nitrate,17.8,5.36297004778655,1.712061882019043,4.534119590614619,4,17,45.72727272727273,40.0
83,72,SWrad,14.399999999999999,54.906673307010855,196.37701416015625,200.849901093377,4,17,45.72727272727273,40.0
84,66,WOA_Salinity,13.200000000000001,5.023532739104537,35.186248779296875,33.273859154094346,4,17,45.72727272727273,40.0
85,206,WOA_MLDpt,41.199999999999996,63.597846617658796,-2.0,17.675485046164503,4,18,20.977272727272727,10.5
86,127,WOA_TEMP_K,25.4,3.147326544712174,14.445642089843773,14.268495718888428,4,18,20.977272727272727,10.5
87,68,WOA_Salinity,13.600000000000001,1.7342799849479011,35.235877990722656,34.81730581732357,4,18,20.977272727272727,10.5
88,55,WOA_Nitrate,11.0,5.728862040802714,3.472158908843994,4.334825002063404,4,18,20.977272727272727,10.5
89,44,SWrad,8.799999999999999,76.79832678575427,184.51490783691406,173.62482868541372,4,18,20.977272727272727,10.5
94,63,SWrad,12.6,66.87256466322584,106.6042709350586,128.23581731887091,4,19,40.57142857142857,27.0
93,101,WOA_MLDpt,20.200000000000003,53.63824481574814,45.400001525878906,56.036138968892615,4,19,40.57142857142857,27.0
92,103,WOA_Nitrate,20.599999999999998,8.791318807803712,13.970744132995605,14.26100139638174,4,19,40.57142857142857,27.0
90,125,WOA_Salinity,25.0,3.740143321686491,33.56488800048828,32.5182248840332,4,19,40.57142857142857,27.0
91,108,WOA_TEMP_K,21.6,3.9278825890373623,6.254144287109398,7.243864384403958,4,19,40.57142857142857,27.0
95,147,WOA_MLDpt,29.4,112.50653034218139,-2.0,61.535373434728506,4,20,48.075471698113205,51.0
96,134,WOA_Salinity,26.8,2.0142753138731626,33.895450592041016,33.99530601501465,4,20,48.075471698113205,51.0
97,112,WOA_TEMP_K,22.400000000000002,4.990383271477555,14.397790527343773,12.250625228881859,4,20,48.075471698113205,51.0
98,54,SWrad,10.8,80.79156167620573,120.39302825927734,158.28358508922435,4,20,48.075471698113205,51.0
99,53,WOA_Nitrate,10.6,9.175768739882175,19.139110565185547,16.452382744483227,4,20,48.075471698113205,51.0
104,43,SWrad,8.6,62.16714528119784,121.62528991699219,123.12800713472588,4,21,56.325581395348834,31.0
103,78,WOA_Nitrate,15.6,8.876935435600505,18.64295196533203,16.872954316819325,4,21,56.325581395348834,31.0
101,142,WOA_Salinity,28.4,0.7376799964930392,33.88469696044922,34.13650085556675,4,21,56.325581395348834,31.0
100,148,WOA_MLDpt,29.599999999999998,113.59807185018998,38.72500038146973,97.38074258533683,4,21,56.325581395348834,31.0
102,89,WOA_TEMP_K,17.8,5.434309558727572,8.412805175781273,7.546710822287593,4,21,56.325581395348834,31.0
105,163,WOA_TEMP_K,32.6,4.619440975214978,12.945092773437523,11.595527021724045,4,22,34.94871794871795,29.0
106,143,WOA_MLDpt,28.599999999999998,139.33330826911768,-2.0,58.64405594672356,4,22,34.94871794871795,29.0
107,78,WOA_Salinity,15.6,0.7499917866641563,34.33354187011719,34.726563673753006,4,22,34.94871794871795,29.0
108,77,WOA_Nitrate,15.4,9.854987760734923,8.901298522949219,14.238600927126871,4,22,34.94871794871795,29.0
109,39,SWrad,7.8,67.7847533054675,152.5831756591797,141.79204036027957,4,22,34.94871794871795,29.0
114,84,WOA_Nitrate,16.8,1.244685810315234,0.12081314623355865,0.5224862067622044,4,23,27.142857142857142,19.0
113,84,SWrad,16.8,59.39928506671437,177.16373443603516,175.08412197657995,4,23,27.142857142857142,19.0
111,103,WOA_Salinity,20.599999999999998,2.2810312269843838,36.557151794433594,35.59291056290414,4,23,27.142857142857142,19.0
110,140,WOA_MLDpt,28.000000000000004,39.12875381555628,5.300000190734863,21.20642810549055,4,23,27.142857142857142,19.0
112,89,WOA_TEMP_K,17.8,3.0916198695950645,17.363549804687523,18.940911865234398,4,23,27.142857142857142,19.0
115,144,WOA_MLDpt,28.799999999999997,47.880175263568674,56.125,53.983680069446564,4,24,61.88333333333333,42.5
